Classifier: SVM
Mode: Quaternário
GridSearch: False
RFE: False
PCA: True
Used files for training: full-corpus.csv;full_training_dataset.csv;twitter-sanders-apple2.csv;
Used files for testing: irrelevantTest.csv;twitter-sanders-apple3.csv;
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.709226467847

Report:
             precision    recall  f1-score   support

        pos       0.58      0.56      0.57       163
        neg       0.69      0.78      0.73       316
        neu       0.75      0.76      0.76       509
        irr       0.94      0.40      0.56        85

avg / total       0.72      0.71      0.70      1073

Confusion Matrix:
[[ 92  17  54   0]
 [ 23 246  47   0]
 [ 35  83 389   2]
 [  9  12  30  34]]

312 Wrong Predictions:
0 - [Correct: irr ; Predicted: neu] cenaze nedeniyle kapal y z apple http t co j l kk
260 - [Correct: neu ; Predicted: neg] this is better than every magazine having their own app eatmagazine apple supports magazines ipad upgrade adds newsstand app
261 - [Correct: neu ; Predicted: neg] twalve too busy having slappy hissy fits with samsung apple
262 - [Correct: neu ; Predicted: irr] fregon el nuevo facebook para ipod iphone haha alomejor ya tiene rato pero yo lo acabo de actualizar apple
263 - [Correct: neu ; Predicted: neg] virgojud well maybe if you would set ya apple products to send push notifications it would go through
264 - [Correct: neu ; Predicted: pos] hmm it seems i should have checked the identity of apple first
265 - [Correct: neu ; Predicted: neg] keke blackberry apple haha i know so sad
266 - [Correct: neu ; Predicted: neg] wow dogs apple w starr earlier upstairs in the huge soho store and all of a sudden she sprung to attention http t co b plmyvd
267 - [Correct: neu ; Predicted: neg] comparing the apple blackberry apps interfaces can anyone imagine how blackberry could have done worse sadreally
268 - [Correct: neu ; Predicted: neg] why can t i check just notes without mail on lion for icloud like i do on the ios devices apple
269 - [Correct: neu ; Predicted: neg] you need to ask siri her favorite color and the average speed of an unladen swallow seems someone apple is a monty python fan
270 - [Correct: neu ; Predicted: neg] novatyler i lost a lot that i paid for apple wordswfriends etc nothappy oh well poop happens
271 - [Correct: neu ; Predicted: pos] the folks at apple are awesome so glad i a mactard
272 - [Correct: neu ; Predicted: neg] waiting at end of person line after checking in on time for my genius bar appt apple store i do not find this system genius fail
273 - [Correct: neu ; Predicted: neg] while the improvements in apple mac os lion are great the full screen implementation on monitors is broken
274 - [Correct: neu ; Predicted: neg] nansen apple i have not heard of that hubby had no problems i have not done it yet
275 - [Correct: neu ; Predicted: neg] california governor jerrybrown declares today stevejobsday in his state music video tribute http t co mnr hix mashable cnet apple
276 - [Correct: neu ; Predicted: neg] just made the switch from blackberry to apple and never looking back bbwho
277 - [Correct: neu ; Predicted: pos] reddclay now that were done prasing apple s ios everyone go subscribe to notsosuperpro shamlessselfpromotion
278 - [Correct: neu ; Predicted: pos] right migrate from older mbp to imac using ethernet not firewire thanks drew for saving me some apple http t co iahhagxy
279 - [Correct: neu ; Predicted: pos] adityasood apple quora i totally agree was talking w friends about that yesterday siri everywhere
280 - [Correct: neu ; Predicted: neg] how much do apples factories cost asymco http t co gh tvqmo
281 - [Correct: neu ; Predicted: neg] apple hits samsung in court again http t co l brf yb
282 - [Correct: neu ; Predicted: neg] mvm well if it told you what you did to it or how it happened it would be concrete evidence that apple is logging your life l
283 - [Correct: neu ; Predicted: pos] blogger loves apple iphone my blogpost finally done through iphone apps
284 - [Correct: neu ; Predicted: neg] apple appstore ihelpline when r u going to provide the ability to password protect ipad email
285 - [Correct: neu ; Predicted: neg] has the new ios changed the way the ipad charges i ve noticed i can charge from my laptop iphone charger now toptweets bbcclick apple
286 - [Correct: neu ; Predicted: pos] thanks apple my girlfriend likes siri more than me now
287 - [Correct: neu ; Predicted: neg] apple no siri support for canada sucks siri but loving the new iphone upgrade from my gs iphone s
288 - [Correct: neu ; Predicted: neg] oops apparently apple is some handle squatter tweetbarassment
289 - [Correct: neu ; Predicted: pos] this reader button for safari is perfect for fic apple ios stevejobsday
290 - [Correct: neu ; Predicted: pos] macbook pros constrained new models appear in apples inventory system apple macbookpro http t co blgr ue
291 - [Correct: neu ; Predicted: neg] misthang u nope they wouldn t even let me my mom switch apple she has an upgrade mine isn t do til march
292 - [Correct: neu ; Predicted: neg] apple why do you have a volume control in the fast app switcher buttons volume buttons you have them give me a brightness slider wtf
293 - [Correct: neu ; Predicted: neg] too many iphones apple dcoult firstworldproblems http t co ck yffsy
294 - [Correct: neu ; Predicted: neg] ios needed to include a landscape mode for reminders apple
295 - [Correct: neu ; Predicted: irr] de la nada mi iphone se fue a negro y empez a vibrar hubo que resetearlo que onda con ios wtfh apple
296 - [Correct: neu ; Predicted: neg] 
297 - [Correct: neu ; Predicted: pos] davidcohen sounds like nd day strategy isn t working we got ours yesterday in and out in no time apple staff awesome efficient
298 - [Correct: neu ; Predicted: neg] sprint is slow slow slow beware when signing with slowsprint apple iphone iphone iphone s siri android thebufferingnetwork
299 - [Correct: neu ; Predicted: pos] thatstevegray done that buddy just surprised that there s no option from apple if you turn it back on it brings back the pics u delete
300 - [Correct: neu ; Predicted: neg] if apple could put the usb female connector in cars would be dope
301 - [Correct: neu ; Predicted: neg] ireton perhaps it s time for apple to come out with an app called isuck that lets you know which apps are killing your battery life
302 - [Correct: neu ; Predicted: pos] lol apple support playing mary j blige during the wait time
303 - [Correct: neu ; Predicted: neg] xwordy icloud was new i didn t need weather or stocks but they were there pre ios so i m not hopeful that this will help apple
304 - [Correct: neu ; Predicted: neg] apple in austin domain location umbrellas are nice but being staffed properly would be better
305 - [Correct: neu ; Predicted: neg] bored need a new intriguing app for my ipad any suggestions apple yyc gadget guy
306 - [Correct: neu ; Predicted: neg] keepnupwittboyd appstore itunesmusic they fixed a bug thursday after i had done my update thus my issue spent fri apple ios
307 - [Correct: neu ; Predicted: neg] and apple i still have an old mbp from which i use which can t run lion i still like to sync it
308 - [Correct: neu ; Predicted: neg] notleifgarrett apple you ll be able to afford that mansion one day
309 - [Correct: neu ; Predicted: neg] realestateguywi all about yesterday s apple upgrade helpful but maddening
310 - [Correct: neu ; Predicted: pos] tvnewschick apple oh no why not i want it to be love love love it s a lot of dough to spend otherwise
311 - [Correct: neu ; Predicted: neg] fashionnoguilt haha tomorrow should be less hectic too cause everyone and their moms was at the apple store today
